"Amazon 出品サービス、フルフィルメント by Amazon (FBA)"
"指定のない場合、単位は円"
"定義："
"売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税"
"販売手数料：カテゴリー成約料と販売手数料が含まれます。"
"トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料"
"その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。"
"日付/時間","決済番号","トランザクションの種類","注文番号","SKU","説明","数量","Amazon 出品サービス","フルフィルメント","市町村","都道府県","郵便番号","税金徴収型","商品売上","商品の売上税","配送料","配送料の税金","ギフト包装手数料","ギフト包装クレジットの税金","Amazonポイントの費用","プロモーション割引額","プロモーション割引の税金","源泉徴収税を伴うマーケットプレイス","手数料","FBA 手数料","トランザクションに関するその他の手数料","その他","合計"
"2025/11/04 3:46:38 JST","12178273673","注文","503-4617213-9665465","KnBraces-GY-S","膝パッド ひざ専用 膝暖めサポーター 膝サポーター GARUET カイロポケット付き膝安定 マラソン/バレーボール/登�","1","amazon.jp","Amazon","","東京都","134-009","","317","32","0","0","0","0","-7","0","0","0","0","-252","0","0","90"
"2025/11/04 8:31:11 JST","12178273673","注文","503-3836846-6611804","KnBraces-GY-XS","膝パッド ひざ専用 膝暖めサポーター 膝サポーター GARUET カイロポケット付き膝安定 マラソン/バレーボール/登�","2","amazon.jp","Amazon",",","北海道","085-082","","725","73","0","0","0","0","-16","0","0","0","0","-504","0","0","278"
"2025/11/04 8:56:00 JST","12178273673","注文","250-8848679-2844630","KnBraces-2BK-L","膝パッド ひざ専用 膝暖めサポーター 膝サポーター GARUET カイロポケット付き膝安定 マラソン/バレーボール/登�","1","amazon.jp","Amazon","","埼玉県","352-001","","545","54","0","0","0","0","-12","0","0","0","0","-252","0","0","335"
"2025/11/04 15:00:47 JST","12178273673","注文","249-9334189-8783804","Twzrs-Pink1","毛抜き ピンセット先細め 精密 眉毛抜き 先斜 すべり止め ピンセット用 精密 ステンレス 鼻毛 ヒゲ とげぬき 黒","1","amazon.jp","Amazon","","和歌山県","649-111","","516","52","209","21","0","0","-28","-209","-21","0","0","-222","0","0","318"
"2025/11/04 17:39:47 JST","12178273673","注文","250-3722040-1630247","KND-DinnerStg-Gray","食器収納コンテナ 6個セット、キルティッド食器＆グラスウェアセット収納、ダブルジッパー付きのプレートオ�","1","amazon.jp","Amazon","","大阪府","581-000","","2,516","252","0","0","0","0","-28","0","0","0","0","-532","0","0","2,208"
"2025/11/04 18:32:32 JST","12178273673","注文","503-3596049-4225459","KND-Bottles-6pcs","ガラス製ウォーターボトル 水筒 532ml ガラス 水筒 のクリアウォーターボトル 6本セット、ステンレス製密閉キャ","1","amazon.jp","Amazon","","山口県","750-115","","1,999","200","0","0","0","0","-22","0","0","0","0","-514","0","0","1,663"
"2025/11/04 18:32:52 JST","12178273673","注文","250-9885357-1567801","KND-DinnerStg-Gray","食器収納コンテナ 6個セット、キルティッド食器＆グラスウェアセット収納、ダブルジッパー付きのプレートオ�","1","amazon.jp","Amazon","","東京都","153-006","","2,516","252","0","0","0","0","-28","0","0","0","0","-532","0","0","2,208"
"2025/11/04 19:13:12 JST","12178273673","注文","249-7139681-7943007","Bike-PhoMount","バイク スマホホルダー 自転車 スマホホルダー バイク 携帯ホルダー脱着簡単 対応オートバイ 自転車用携帯電�","1","amazon.jp","Amazon","","茨城県","312-003","","363","36","0","0","0","0","-4","0","0","0","0","-368","0","0","27"
"2025/11/04 19:16:41 JST","12178273673","注文","250-5256324-1347843","HN-CANU-NNSK","ポップガード 【二重張りメッシュ】ポップフィルター 直径15cm ノイズ防止 録音品質向上 ポップスクリーン ポ�","1","amazon.jp","Amazon","","東京都","183-000","","617","62","0","0","0","0","-7","0","0","0","0","-419","0","0","253"
"2025/11/04 22:06:22 JST","12178273673","注文","503-3708213-7440642","Bike-SeatCover","自転車シートクッション - パッド入りジェル 幅広調節可能カバー 男女兼用 快適 ペロトン、固定式エクササイ�","1","amazon.jp","Amazon","","沖縄県","901-015","","907","91","0","0","0","0","-10","0","0","0","0","-448","0","0","540"
"2025/11/04 22:06:31 JST","12178273673","注文","249-2578503-5501458","Bike-Seat-Indoor","自転車 サドルカバー 防水 ソフトクッションサドル フレキシブル ブラック 単品ー 屋内および屋外の自転車、�","1","amazon.jp","Amazon","","広島県","734-000","","545","54","0","0","0","0","-6","0","0","0","0","-448","0","0","145"
"2025/11/04 22:12:43 JST","12178273673","注文","503-2930863-8294232","Home-Fmat39BK","キッチンマット、多目的スタンディングマット 50x100cm 台所マット 19mm 分厚い - オフィス・車庫での快適さ - 滑�","1","amazon.jp","Amazon","","大阪府","530-004","","2,715","272","0","0","0","0","-30","0","0","0","0","-1,100","0","0","1,857"
"2025/11/04 23:07:00 JST","12178273673","注文","249-6070388-3768662","HN-CANU-NNSK","ポップガード 【二重張りメッシュ】ポップフィルター 直径15cm ノイズ防止 録音品質向上 ポップスクリーン ポ�","1","amazon.jp","Amazon","","岩手県","024-007","","617","62","0","0","0","0","-7","0","0","0","0","-419","0","0","253"
"2025/11/04 23:38:32 JST","12178273673","注文","250-9909558-3620632","HN-CANU-NNSK","ポップガード 【二重張りメッシュ】ポップフィルター 直径15cm ノイズ防止 録音品質向上 ポップスクリーン ポ�","1","amazon.jp","Amazon","","栃木県","321-252","","617","62","0","0","0","0","-7","0","0","0","0","-419","0","0","253"
"2025/11/04 23:44:49 JST","12178273673","注文","503-1251917-6991003","KnBraces-GY-M","膝パッド ひざ専用 膝暖めサポーター 膝サポーター GARUET カイロポケット付き膝安定 マラソン/バレーボール/登�","1","amazon.jp","Amazon","","東京都","124-001","","454","45","0","0","0","0","-5","0","0","0","0","-252","0","0","242"
"2025/11/04 23:44:49 JST","12178273673","注文","503-1251917-6991003","KnBraces-GY-L","膝パッド ひざ専用 膝暖めサポーター 膝サポーター GARUET カイロポケット付き膝安定 マラソン/バレーボール/登�","1","amazon.jp","Amazon","","東京都","124-001","","417","42","0","0","0","0","-5","0","0","0","0","-252","0","0","202"
"2025/11/05 1:34:23 JST","12178273673","注文","249-7404768-6174261","HN-CANU-NNSK","ポップガード 【二重張りメッシュ】ポップフィルター 直径15cm ノイズ防止 録音品質向上 ポップスクリーン ポ�","1","amazon.jp","Amazon","","神奈川県","213-003","","617","62","0","0","0","0","-7","0","0","0","0","-419","0","0","253"
"2025/11/05 2:14:15 JST","12178273673","注文","503-5796322-7605454","FootBraces-PK-M","足首サポーター かかと サポーター 固定かかとサポーター 捻挫 サポーター 足首 関節を保護する 1組 スポーツ �","1","amazon.jp","Amazon","","鹿児島県","892-080","","589","59","0","0","0","0","-6","0","0","0","0","-222","0","0","420"
"2025/11/05 2:30:15 JST","12178273673","注文","250-4137026-4861448","KnBraces-GY-XL","膝パッド ひざ専用 膝暖めサポーター 膝サポーター GARUET カイロポケット付き膝安定 マラソン/バレーボール/登�","2","amazon.jp","Amazon","","大阪府","559-001","","725","73","0","0","0","0","-16","0","0","0","0","-504","0","0","278"
"2025/11/05 2:52:07 JST","12178273673","注文","503-5180433-7639015","KnBraces-GY-XL","膝パッド ひざ専用 膝暖めサポーター 膝サポーター GARUET カイロポケット付き膝安定 マラソン/バレーボール/登�","2","amazon.jp","Amazon","","東京都","178-006","","725","73","0","0","0","0","-16","0","0","0","0","-504","0","0","278"
"2025/11/05 5:28:19 JST","12178273673","注文","250-8904878-4246264","HN-CANU-NNSK","ポップガード 【二重張りメッシュ】ポップフィルター 直径15cm ノイズ防止 録音品質向上 ポップスクリーン ポ�","1","amazon.jp","Amazon","","神奈川県","252-023","","617","62","0","0","0","0","-7","0","0","0","0","-419","0","0","253"
"2025/11/05 5:52:12 JST","12178273673","注文","250-4527094-7998238","FootBraces-BK-L","足首サポーター かかと サポーター 固定かかとサポーター 捻挫 サポーター 足首 関節を保護する 1組 スポーツ �","1","amazon.jp","Amazon","","千葉県","270-143","","635","63","0","0","0","0","-7","0","0","0","0","-222","0","0","469"
"2025/11/05 7:06:24 JST","12178273673","注文","503-5964368-6735029","KnBraces-2BK-L","膝パッド ひざ専用 膝暖めサポーター 膝サポーター GARUET カイロポケット付き膝安定 マラソン/バレーボール/登�","1","amazon.jp","Amazon","","長野県","381-220","","545","54","0","0","0","0","-12","0","0","0","0","-252","0","0","335"
"2025/11/05 8:17:21 JST","12178273673","注文","249-5728833-0964642","Twzrs-Pink1","毛抜き ピンセット先細め 精密 眉毛抜き 先斜 すべり止め ピンセット用 精密 ステンレス 鼻毛 ヒゲ とげぬき 黒","1","amazon.jp","Amazon","","東京都","173-002","","516","52","0","0","0","0","-28","0","0","0","0","-222","0","0","318"
"2025/11/05 8:39:19 JST","12178273673","注文","503-0435854-1580661","KnBraces-GY-L","膝パッド ひざ専用 膝暖めサポーター 膝サポーター GARUET カイロポケット付き膝安定 マラソン/バレーボール/登�","2","amazon.jp","Amazon","","東京都","114-000","","835","83","0","0","0","0","-10","0","0","0","0","-504","0","0","404"
"2025/11/05 12:44:53 JST","12178273673","振込み","","","末尾が279のアカウントへ","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-168,222","-168,222"
"2025/11/05 19:17:09 JST","12178273673","注文","503-5989278-4602268","KnBraces-2BK-L","膝パッド ひざ専用 膝暖めサポーター 膝サポーター GARUET カイロポケット付き膝安定 マラソン/バレーボール/登�","1","amazon.jp","Amazon","","東京都","124-002","","635","64","0","0","0","0","-14","0","0","0","0","-252","0","0","433"
"2025/11/05 19:17:34 JST","12178273673","注文","503-0017827-8579041","Home-Fmat39BK","キッチンマット、多目的スタンディングマット 50x100cm 台所マット 19mm 分厚い - オフィス・車庫での快適さ - 滑�","1","amazon.jp","Amazon","","北海道","073-013","","2,715","272","0","0","0","0","-30","0","0","0","0","-1,100","0","0","1,857"
"2025/11/05 19:36:55 JST","12178273673","注文","503-5222163-5771828","MUS-IsoShieldx2","防音 吸音材 シールド マイク分離シールド 折り畳み ボーカル録音放送用 (26cm×11cm×2枚) リフレクションフィル�","1","amazon.jp","Amazon","","千葉県","270-141","","3,051","305","0","0","0","0","-34","0","0","0","0","-514","0","0","2,808"
"2025/11/05 20:48:02 JST","12178273673","注文","250-2361765-4079831","Sport-Ball-Blue","バランスボール 65cm - 妊娠中 ヨガボール 破裂防止 エクササイズボール トレーニング用 フィットネスボール ア�","1","amazon.jp","Amazon","","東京都","150-001","","1,376","138","0","0","0","0","-15","0","0","0","0","-485","0","0","1,014"
"2025/11/05 21:09:20 JST","12178273673","FBA 在庫関連の手数料","xvaUh5Fk/+","","FBA在庫の廃棄手数料","","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-207","-207"
"2025/11/06 0:23:15 JST","12178273673","注文","249-0795150-2952640","KnBraces-2BK-L","膝パッド ひざ専用 膝暖めサポーター 膝サポーター GARUET カイロポケット付き膝安定 マラソン/バレーボール/登�","1","amazon.jp","Amazon","","千葉県","267-005","","635","64","0","0","0","0","-14","0","0","0","0","-252","0","0","433"
"2025/11/06 0:41:24 JST","12178273673","注文","503-0017827-8579041","Home-Fmat39BK","キッチンマット、多目的スタンディングマット 50x100cm 台所マット 19mm 分厚い - オフィス・車庫での快適さ - 滑�","1","amazon.jp","Amazon","","北海道","073-013","","2,715","272","0","0","0","0","-30","0","0","0","0","-1,100","0","0","1,857"
