"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"May 5, 2025 12:44:20 AM PDT","23490909161","Order","112-6243738-6557029","10US-F-Car Boot Organiser Black NEW","Trunk Organizer for SUV - Collapsible Car Organizer for Storage, Multi-Compartment Car Trunk Organizer, Truck Accessories for Men, Car Organizers and","1","amazon.com","Amazon","POWDER SPRINGS","GA","30127","MarketplaceFacilitator","12.99","0.78","1.93","0","0","0","0","0","-1.93","0","-0.78","0","-7.16","0","0","5.83"
"May 5, 2025 1:14:19 AM PDT","23490909161","Order","114-0182414-4855439","10US-F-Car Boot Organiser Grey NEW","Trunk Organizer for SUV - Collapsible Car Organizer for Storage, Multi-Compartment Car Trunk Organizer, Truck Accessories for Men, Car Organizers and","1","amazon.com","Amazon","WOODBRIDGE","VA","22192","MarketplaceFacilitator","12.99","0.78","0","0","0","0","0","0","0","0","-0.78","0","-7.16","0","0","5.83"
"May 5, 2025 1:22:07 AM PDT","23490909161","Order","114-4238489-5633042","10US-F-Car Vacuum Cleaner Black NEW","Car Vacuum, Portable Handheld Vacuum Cleaner with 16ft Cord, HEPA Filter, & Attachments - Compact Vacuum for Car, RV, Boats & Travel - Strong Suction","1","amazon.com","Amazon","MIAMI","FL","33182","MarketplaceFacilitator","16.99","1.19","5.83","0","0","0","0","0","-5.83","0","-1.19","0","-7.00","0","0","9.99"
"May 5, 2025 6:52:47 AM PDT","23490909161","Order","112-4994032-4473066","10US-F-Car Boot Organiser Black NEW","Trunk Organizer for SUV - Collapsible Car Organizer for Storage, Multi-Compartment Car Trunk Organizer, Truck Accessories for Men, Car Organizers and","1","amazon.com","Amazon","MIAMI","FL","33172","MarketplaceFacilitator","12.99","0.91","0","0","0","0","0","0","0","0","-0.91","0","-7.16","0","0","5.83"
"May 5, 2025 7:14:33 AM PDT","23490909161","FBA Inventory Fee","111-0083891-6198670","","FBA Removal Order: Disposal Fee","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-3.95","-3.95"
"May 5, 2025 9:19:12 PM PDT","23490909161","Order","113-7328310-5765815","10US-F-Car Vacuum Cleaner Black NEW","Car Vacuum, Portable Handheld Vacuum Cleaner with 16ft Cord, HEPA Filter, & Attachments - Compact Vacuum for Car, RV, Boats & Travel - Strong Suction","1","amazon.com","Amazon","Port Aransas","TX","78373","MarketplaceFacilitator","16.99","1.40","0","0","0","0","0","0","0","0","-1.40","0","-7.00","0","0","9.99"
"May 5, 2025 10:05:48 PM PDT","23490909161","Order","113-0733849-5732208","10US-F-Car Vacuum Cleaner Black NEW","Car Vacuum, Portable Handheld Vacuum Cleaner with 16ft Cord, HEPA Filter, & Attachments - Compact Vacuum for Car, RV, Boats & Travel - Strong Suction","1","amazon.com","Amazon","FORT LAUDERDALE","FL","33311","MarketplaceFacilitator","16.99","1.19","0","0","0","0","0","0","0","0","-1.19","0","-7.00","0","0","9.99"
"May 6, 2025 12:47:47 AM PDT","23490909161","Order","112-1859781-6916217","10US-F-Car Vacuum Cleaner Black NEW","Car Vacuum, Portable Handheld Vacuum Cleaner with 16ft Cord, HEPA Filter, & Attachments - Compact Vacuum for Car, RV, Boats & Travel - Strong Suction","1","amazon.com","Amazon","OAK FOREST","IL","60452","MarketplaceFacilitator","16.99","1.70","0","0","0","0","0","0","0","0","-1.70","0","-7.00","0","0","9.99"
"May 6, 2025 8:01:39 AM PDT","23490909161","Order","111-3085299-8807427","10US-F-Car Vacuum Cleaner Black NEW","Car Vacuum, Portable Handheld Vacuum Cleaner with 16ft Cord, HEPA Filter, & Attachments - Compact Vacuum for Car, RV, Boats & Travel - Strong Suction","1","amazon.com","Amazon","BANDERA","TX","78003","MarketplaceFacilitator","16.99","1.15","0","0","0","0","0","0","0","0","-1.15","0","-7.00","0","0","9.99"
"May 6, 2025 9:30:50 AM PDT","23490909161","Order","111-2057506-2328214","10US-F-Car Vacuum Cleaner Black NEW","Car Vacuum, Portable Handheld Vacuum Cleaner with 16ft Cord, HEPA Filter, & Attachments - Compact Vacuum for Car, RV, Boats & Travel - Strong Suction","1","amazon.com","Amazon","Painter","VA","23420","MarketplaceFacilitator","16.99","0.90","0","0","0","0","0","0","0","0","-0.90","0","-7.00","0","0","9.99"
"May 6, 2025 8:18:42 PM PDT","23490909161","Order","112-2534560-2824257","10US-F-Car Vacuum Cleaner Black NEW","Car Vacuum, Portable Handheld Vacuum Cleaner with 16ft Cord, HEPA Filter, & Attachments - Compact Vacuum for Car, RV, Boats & Travel - Strong Suction","1","amazon.com","Amazon","PITTSBURGH","PA","15224","MarketplaceFacilitator","16.99","1.02","6.99","0.42","0","0","0","0","0","0","-1.44","0","-13.99","0","0","9.99"
"May 6, 2025 8:43:15 PM PDT","23490909161","Order","113-1841511-2911423","10US-F-Car Vacuum Cleaner Black NEW","Car Vacuum, Portable Handheld Vacuum Cleaner with 16ft Cord, HEPA Filter, & Attachments - Compact Vacuum for Car, RV, Boats & Travel - Strong Suction","1","amazon.com","Amazon","BRADENTON","FL","34205","MarketplaceFacilitator","16.99","1.19","0","0","0","0","0","0","0","0","-1.19","0","-7.00","0","0","9.99"
"May 7, 2025 12:07:00 AM PDT","23490909161","Order","111-7654530-5788230","10US-F-Car Boot Organiser Black NEW","Trunk Organizer for SUV - Collapsible Car Organizer for Storage, Multi-Compartment Car Trunk Organizer, Truck Accessories for Men, Car Organizers and","1","amazon.com","Amazon","NORTH HILLS","CA","91343","MarketplaceFacilitator","12.99","1.27","0","0","0","0","0","0","0","0","-1.27","0","-7.16","0","0","5.83"
"May 7, 2025 12:07:00 AM PDT","23490909161","Order","111-7654530-5788230","10US-F-Car Boot Organiser Grey NEW","Trunk Organizer for SUV - Collapsible Car Organizer for Storage, Multi-Compartment Car Trunk Organizer, Truck Accessories for Men, Car Organizers and","1","amazon.com","Amazon","NORTH HILLS","CA","91343","MarketplaceFacilitator","12.99","1.27","0","0","0","0","0","0","0","0","-1.27","0","-7.16","0","0","5.83"
"May 7, 2025 4:36:12 AM PDT","23490909161","Order","111-4642156-8040234","10US-F-Car Boot Organiser Black NEW","Trunk Organizer for SUV - Collapsible Car Organizer for Storage, Multi-Compartment Car Trunk Organizer, Truck Accessories for Men, Car Organizers and","1","amazon.com","Amazon","SEATTLE","WA","98133","MarketplaceFacilitator","12.99","1.34","0","0","0","0","0","0","0","0","-1.34","0","-7.16","0","0","5.83"
"May 7, 2025 6:04:37 AM PDT","23490909161","Order","112-7603153-7247455","10US-F-Car Vacuum Cleaner Black NEW","Car Vacuum, Portable Handheld Vacuum Cleaner with 16ft Cord, HEPA Filter, & Attachments - Compact Vacuum for Car, RV, Boats & Travel - Strong Suction","1","amazon.com","Amazon","San Diego","CA","92129","MarketplaceFacilitator","16.99","1.32","0.50","0","0","0","0","0","-0.50","0","-1.32","0","-7.00","0","0","9.99"
"May 7, 2025 1:15:05 PM PDT","23490909161","Service Fee","FBA18JSFSNZ5","","FBA Inbound Placement Service Fee","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-3.20","-3.20"
"May 7, 2025 4:07:32 PM PDT","23490909161","FBA Inventory Fee","","","FBA storage fee","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-248.40","-248.40"
"May 7, 2025 9:50:20 PM PDT","23490909161","Order","S01-0182622-6948474","10US-F-Car Boot Organiser Black NEW","Trunk Organizer for SUV - Collapsible Car Organizer for Storage, Multi-Compartment Car Trunk Organizer, Truck Accessories for Men, Car Organizers and Storage for Cars & SUVs","1","sim1.stores.amazon.com","Amazon","Ventura","CA","93003","","0","0","0","0","0","0","0","0","0","0","0","0","-10.82","0","0","-10.82"
"May 10, 2025 12:13:41 AM PDT","23490909161","Order","111-9770745-1350625","10US-F-Car Vacuum Cleaner Black NEW","Car Vacuum, Portable Handheld Vacuum Cleaner with 16ft Cord, HEPA Filter, & Attachments - Compact Vacuum for Car, RV, Boats & Travel - Strong Suction","1","amazon.com","Amazon","SHELBY TOWNSHIP","MI","48316","MarketplaceFacilitator","16.99","1.02","1.49","0","0","0","0","0","-1.49","0","-1.02","0","-7.00","0","0","9.99"
"May 10, 2025 3:57:59 AM PDT","23490909161","Order","112-0959184-8625868","10US-F-Car Vacuum Cleaner Black NEW","Car Vacuum, Portable Handheld Vacuum Cleaner with 16ft Cord, HEPA Filter, & Attachments - Compact Vacuum for Car, RV, Boats & Travel - Strong Suction","1","amazon.com","Amazon","PHOENIX","AZ","85037","MarketplaceFacilitator","16.99","1.46","0","0","0","0","0","0","0","0","-1.46","0","-7.00","0","0","9.99"
"May 11, 2025 12:45:23 AM PDT","23490909161","Order","113-7029422-7116209","10US-F-Car Vacuum Cleaner Black NEW","Car Vacuum, Portable Handheld Vacuum Cleaner with 16ft Cord, HEPA Filter, & Attachments - Compact Vacuum for Car, RV, Boats & Travel - Strong Suction","1","amazon.com","Amazon","NORTHRIDGE","CA","91324","MarketplaceFacilitator","16.99","1.66","0","0","0","0","0","0","0","0","-1.66","0","-7.00","0","0","9.99"
"May 11, 2025 1:42:21 AM PDT","23490909161","Order","113-7779840-0648220","10US-F-Car Vacuum Cleaner Black NEW","Car Vacuum, Portable Handheld Vacuum Cleaner with 16ft Cord, HEPA Filter, & Attachments - Compact Vacuum for Car, RV, Boats & Travel - Strong Suction","1","amazon.com","Amazon","Westfield","IN","46074","MarketplaceFacilitator","16.99","1.19","0","0","0","0","0","0","0","0","-1.19","0","-7.00","0","0","9.99"
