"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Jul 5, 2025 7:50:54 PM PDT","23910295561","Order","114-5576231-7925011","HBER004-K-15-18","King Size Mattress Protector Zippered,Premium Quality Hypoallergenic Bed Encasement,15-18 Inch 6-Side Waterproof Mattress Cover Breathable & Noiseless","1","amazon.com","Amazon","SPRING","TX","77386","MarketplaceFacilitator","25.49","1.85","0","0","0","0","0","0","0","0","-1.85","0","-7.64","0","0","17.85"
"Jul 5, 2025 9:17:56 PM PDT","23910295561","Order","113-7873009-9609066","10US-F-Car Boot Organiser Black NEW","Miloll Collapsible Car Trunk Organizer - SUV & Car Storage, Multi-Compartment, Black","1","amazon.com","Amazon","Wilmer","TX","75172","MarketplaceFacilitator","11.99","0.99","0","0","0","0","0","0","0","0","-0.99","0","-7.16","0","0","4.83"
"Jul 5, 2025 9:32:41 PM PDT","23910295561","Order","114-1761891-9837005","HBER004-F-9-12","Full Size Mattress Protector Zippered, 6-Side Waterproof Mattress Encasement, (9""-12"" Depth) Soft Terry Surface Mattress Cover, for Full Mattress 54 *","1","amazon.com","Amazon","WORCESTER","MA","01610","MarketplaceFacilitator","22.94","1.43","0","0","0","0","0","0","0","0","-1.43","0","-7.24","0","0","15.70"
"Jul 5, 2025 11:04:39 PM PDT","23910295561","Order","113-8620698-7920256","HBER004-F-6-9","Full Size Mattress Protector Zippered, 6-Side Waterproof Mattress Encasement, (6""-9"" Depth) Soft Terry Surface Mattress Cover, for Full Mattress 54 *","1","amazon.com","Amazon","CHATSWORTH","CA","91311","MarketplaceFacilitator","22.94","2.24","0","0","0","0","0","0","0","0","-2.24","0","-7.16","0","0","15.78"
"Jul 6, 2025 12:24:43 AM PDT","23910295561","Order","113-9299801-6874606","HBER004-F-6-9","Full Size Mattress Protector Zippered, 6-Side Waterproof Mattress Encasement, (6""-9"" Depth) Soft Terry Surface Mattress Cover, for Full Mattress 54 *","1","amazon.com","Amazon","WOODWARD","OK","73801","MarketplaceFacilitator","22.94","2.16","0","0","0","0","0","0","0","0","-2.16","0","-7.16","0","0","15.78"
"Jul 6, 2025 1:19:41 AM PDT","23910295561","Order","112-6407554-4207447","10US-F-Car Boot Organiser Black NEW","Miloll Collapsible Car Trunk Organizer - SUV & Car Storage, Multi-Compartment, Black","1","amazon.com","Amazon","ZEPHYRHILLS","FL","33541","MarketplaceFacilitator","11.99","0.84","0","0","0","0","0","0","0","0","-0.84","0","-7.16","0","0","4.83"
"Jul 6, 2025 2:42:46 AM PDT","23910295561","Order","113-1864537-3730615","HBER002-Q","Zippered Mattress Encasement-Queen Mattress Protector-100% Waterproof Box Spring Encasement-Hypoallergenic & Noiseless-9 Inches Deep","1","amazon.com","Amazon","Eatonville","WA","98328","MarketplaceFacilitator","23.99","1.94","6.99","0.57","0","0","0","0","0","0","-2.51","0","-14.15","0","0","16.83"
"Jul 6, 2025 8:53:06 AM PDT","23910295561","Order","113-1725736-1804268","10US-F-Car Vacuum Cleaner Black NEW","Car Vacuum, Portable Handheld Vacuum Cleaner with 16ft Cord, HEPA Filter, & Attachments - Compact Vacuum for Car, RV, Boats & Travel - Strong Suction","1","amazon.com","Amazon","Richmond","VA","23235","MarketplaceFacilitator","13.99","0.84","1.49","0","0","0","0","0","-1.49","0","-0.84","0","-7.00","0","0","6.99"
"Jul 6, 2025 10:27:05 AM PDT","23910295561","Order","113-2303187-4579451","10US-F-Car Vacuum Cleaner Black NEW","Car Vacuum, Portable Handheld Vacuum Cleaner with 16ft Cord, HEPA Filter, & Attachments - Compact Vacuum for Car, RV, Boats & Travel - Strong Suction","1","amazon.com","Amazon","PORT ST LUCIE","FL","34953","MarketplaceFacilitator","13.99","0.98","0","0","0","0","0","0","0","0","-0.98","0","-7.00","0","0","6.99"
"Jul 6, 2025 10:31:41 AM PDT","23910295561","Order","114-0361445-9751410","HBER002-K","King Zippered Mattress Protector, Soft Terry Surface Mattress Encasement, Absorbent 6-Side Waterproof Mattress Cover, 9 Inches Deep, Hypoallergenic &","1","amazon.com","Amazon","SAVOY","IL","61874","MarketplaceFacilitator","24.99","1.50","4.84","0","0","0","0","0","-9.84","0","-1.50","0","-7.48","0","0","12.51"
