"Includes Amazon Marketplace, Fulfilment by Amazon (FBA) and Amazon Webstore transactions"
"All amounts in AUD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the “Type” and “Description” columns for each order ID."
"date/time","settlement ID","type","order ID","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","sales tax collected","low value goods","selling fees","fulfilment by amazon fees","other transaction fees","other","total"
"3 Nov 2025 8:21:08 pm GMT+9","12178183403","Order","249-3291057-1934224","NLK-CSH-DcntGlsSet-Tmn","Whiskey Decanter Set – 750ml Crystal Decanter with 4 x 300ml Whiskey Glasses, Elegant Crystal Cocktail Glasses for Scotch,Bourbon,Whisky – Stylish","1","amazon.com.au","Amazon","BACCHUS MARSH","VIC","3340","42.49","0","0","0","0","0","-5.52","-15.74","0","0","21.23"
"3 Nov 2025 8:53:35 pm GMT+9","12178183403","Order","249-2782378-4314258","CCF-CSH-RlngPin","Stainless Steel Rolling Pin for Baking – Heavy-Duty Dough Rolling pin for Pizza, Cookies & Pastry | Non-Stick, Easy to Clean, Kitchen Essential","1","amazon.com.au","Amazon","BALDIVIS","WA","6171","15.97","0","0","0","0","0","-2.08","-8.40","0","0","5.49"
"3 Nov 2025 9:39:56 pm GMT+9","12178183403","Order","250-5759982-4280603","CCF-CSH-BkRkHlf2-2pk","Cooling and Roasting Rack Set - 2 Pack Stainless Steel Cooling Racks for Cooking and Baking, 30 x 43cm Oven-Safe Baking Racks, Heavy-Duty Oven Rack fo","1","amazon.com.au","Amazon","ROUSE HILL","NSW","2155","31.96","0","0","0","0","0","-4.15","-10.14","0","0","17.67"
"3 Nov 2025 10:00:27 pm GMT+9","12178183403","Order","249-4161016-3923844","CCF-CSH-BkRkHlf2-2pk","Cooling and Roasting Rack Set - 2 Pack Stainless Steel Cooling Racks for Cooking and Baking, 30 x 43cm Oven-Safe Baking Racks, Heavy-Duty Oven Rack fo","1","amazon.com.au","Amazon","MICKLEHAM","VIC","3064","31.96","0","0","0","0","0","-4.15","-10.14","0","0","17.67"
"3 Nov 2025 10:05:45 pm GMT+9","12178183403","Order","503-6324065-1083019","CCF-CSH-PrPzaCtr","Heavy Duty Pizza Cutter Rocker Blade with Cover – Premium Stainless Steel Pizza Slicer with Protective Sheath, Ergonomic Non-Slip Handle, Dishwasher","1","amazon.com.au","Amazon","Croydon","Victoria","3136","17.99","3.33","0","-3.33","0","0","-2.34","-8.40","0","0","7.25"
"4 Nov 2025 12:14:22 am GMT+9","12178183403","Order","249-8041733-1235002","MNM-CSH-CwdSwgChr-Crm","Baby Swing Chair for Indoor & Outdoor Fun – Soft Cotton Canvas Toddler Swing with Beech Wood Frame – Safe & Comfy Baby Toys – Ideal Sensory Swin","1","amazon.com.au","Amazon","MORLEY","WA","6062","48.42","0","0","0","0","0","-6.29","-11.21","0","0","30.92"
"4 Nov 2025 1:04:36 am GMT+9","12178183403","Order","250-3101787-6896613","CCF-CSH-BkRkHlf2-2pk","Cooling and Roasting Rack Set - 2 Pack Stainless Steel Cooling Racks for Cooking and Baking, 30 x 43cm Oven-Safe Baking Racks, Heavy-Duty Oven Rack fo","1","amazon.com.au","Amazon","Yarraville","Victoria","3013","31.96","4.99","0","-4.99","0","0","-4.15","-10.14","0","0","17.67"
"4 Nov 2025 5:14:55 am GMT+9","12178183403","Order","250-2645938-9426235","NLK-CSH-DcntGlsSet-Hbt","Whisky Decanter (750ml) and Whiskey Glasses(300ml) Hobart, Wine Decanter for Scotch, Bourbon, Whisky, Elegant Holiday Whiskey Gifts for Men and Women","1","amazon.com.au","Amazon","BROWNLOW HILL","NSW","2570","40.99","0","0","0","0","0","-5.33","-15.91","0","0","19.75"
"4 Nov 2025 5:16:05 am GMT+9","12178183403","Order","250-2326740-7523024","CCF-CSH-RlngPin","Stainless Steel Rolling Pin for Baking – Heavy-Duty Dough Rolling pin for Pizza, Cookies & Pastry | Non-Stick, Easy to Clean, Kitchen Essential","1","amazon.com.au","Amazon","PRESTON","VIC","3072","15.97","0","0","0","0","0","-2.08","-8.40","0","0","5.49"
"4 Nov 2025 7:28:10 am GMT+9","12178183403","Order","249-4556355-3635805","CCF-CSH-RlngPin","Stainless Steel Rolling Pin for Baking – Heavy-Duty Dough Rolling pin for Pizza, Cookies & Pastry | Non-Stick, Easy to Clean, Kitchen Essential","1","amazon.com.au","Amazon","ESSENDON","VIC","3040","15.97","0","0","0","0","0","-2.08","-8.40","0","0","5.49"
